stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,allDataLabels,financialLabels,priceLabels
IRL,0.04,100.16,-2.8025799,0.0,0,1611878400,55621720,502,4.34,9.605319760152883,9.350407258803068,6.721664789798907,6.460710075211967,6.6759975060516545,7.679570371693925,7.980046543199233,8.432157964226704,8.278694681955905,8.095648203287205,8.843088249069812,10.016060977773597,-1,-1,0
NOK,0.3,0.0,-0.11545999,0.0,0,1611878400,23705835520,41223801,2.34,4.052380970546177,4.214210522802253,3.171363624659452,3.3771428607759018,3.701499998569489,4.4013636328957295,4.434545430270108,5.056666669391451,4.196666649409703,4.050000049851159,3.8359999895095824,4.045909133824435,0,0,0
PSA,3.24,16.328,0.45306998,23.862,0,1611878400,48910368768,2577026,155.37,209.7820453792439,216.60698341058762,199.17463934413962,191.7972068214269,180.62982233622557,195.1213334989113,189.98831238801517,198.9152666912674,216.26373403945243,230.37981216304692,229.1063360621081,225.59422857200204,-1,-1,-1
BIG,3.49,0.593,0.10149,6.91,0,1611878400,3674789120,4509004,10.13,27.42774257967266,24.965396249175182,15.005495419599411,19.020473337763306,29.748511216542873,36.91270040826648,40.42659253466009,49.51640684389777,47.34162572216936,51.236053451322135,50.098578300235125,47.2064468779376,1,1,0
DVD,0.21,1.805,0.19412000000000001,12.032,0,1611878400,69582576,26991,1.06,1.7911423946744363,1.7073569514402658,1.3975956663330564,1.2085974822788177,1.31278694241947,1.5086339212774802,1.4413115384613735,1.4101067748883056,1.4036950901524048,1.3962841910219943,1.8310491993352396,2.0481818209994924,1,2,0
DTE,1.55,3.612,0.11234000000000001,14.317,0,1611878400,43981017088,1588868,71.21,125.83618123067636,126.69663290967262,96.71839253734517,99.88382516965507,99.35911339719792,106.75516375853886,109.1353164744078,115.04893958863171,115.20672448314495,119.356707375398,128.62883439543512,122.3937744343276,-1,2,-1
ITM,0.0,0.0,0.0,0.0,0,0,0,0,35.77,49.61016086440292,50.15464218707772,48.25908430438426,48.09593374686125,48.83028439043103,50.08601989980057,50.72452272252799,51.219490265160864,50.89510971849942,50.652011754544525,51.116662819868715,51.74540794386155,2,2,0
IGM,0.0,0.0,0.0,0.0,0,0,0,0,183.27,252.3798737049931,259.68183930621814,217.77093115680188,230.09555828302018,255.56786697573372,275.159614625067,292.4550280906411,311.56824492553073,311.12603522618616,319.4283146056848,326.75128430103456,345.28203458451804,-1,3,-1
ONE,2.52,0.0,-0.24034001,0.0,0,1611878400,526212704,996715,2.85,6.729714302789597,5.715263115732293,5.321590943769976,4.555714300700597,4.632000005245208,4.073590939695185,4.179545478387312,4.414666698092506,4.4890476408458895,4.509090878746727,4.176500046253205,3.864090941169045,1,2,0
GME,0.27,3.7110000000000003,-0.053239997000000004,-148.047,0,1611878400,19157270528,14200138,2.57,5.058571406773159,4.099473702280145,4.226363648067821,4.865238121577671,4.901500010490418,4.777272701263428,4.260000012137674,4.980476220448812,8.948571500324068,12.94272739237005,13.067500019073488,17.36181809685447,1,2,0
LUV,1.9,3.859,-0.33973998,-8.754,0,1611878400,34920046592,16803667,22.47,55.216064365569146,55.766951793644026,41.450414457206776,32.873333158947176,28.80349988937378,36.56454571810636,33.63545443794944,35.57190504528227,39.659523555210654,40.14181813326749,45.07600021362305,47.18318176269531,1,2,0
FAT,0.13,14.335,-0.48266000000000003,-198.079,0,1611878400,241854208,12653,1.72,4.658761864616757,4.523210525512695,3.046000009233301,3.1550476210457936,3.3227999925613405,3.7332727475599814,3.4436363632028755,4.962047633670625,5.458333333333332,5.714454542506825,5.981499981880188,7.080454566261985,1,4,0
EGP,4.86,19.292,0.2985,30.625,0,1611878400,7003606016,837463,83.4,131.76545765855948,135.8223623010251,109.37007780856709,105.31021849083601,106.27119843826165,118.91285717929141,121.86457447338806,133.96063074950519,131.6172219045313,139.1993237708474,142.68005453993857,136.36403189997478,-1,-1,1
AMD,1.88,9.88,0.25504,57.38,0,1611878400,96456245248,79247010,36.75,49.863333747500455,52.46368408203125,46.05909104780717,53.435714358375186,54.60200023651123,54.54136345603249,61.3331820748069,84.8038093930199,81.68380991617839,83.9472725608132,84.40699920654295,94.5404545177113,-1,-1,-1
OUT,1.78,5.82,-0.049339999999999995,33.782,0,1611878400,7195592704,3464879,7.07,28.54805002114099,30.154692762897106,17.501115084488127,13.552857126508439,14.671500110626221,16.47636383230036,14.586818174882367,15.965714409237814,16.140476090567454,14.741363612088294,17.983499908447264,19.962272730740636,1,2,0
DAL,0.75,3.173,-0.72448,-7.518,0,1611878400,54237384704,10456511,17.51,59.1474532407709,56.85732474425532,37.28590913252397,24.681428636823377,23.233000183105467,30.797272942282934,27.27818185632879,29.10095242091588,32.22095244271414,32.28454572504217,36.967999649047854,41.70681832053445,1,2,0
UAL,0.87,2.614,-0.46036997,-6.0920000000000005,0,1611878400,40135028736,14248998,17.8,85.78476242792038,78.39263112921464,42.85727292841131,28.999047688075475,25.92599983215332,38.6277270750566,34.153636238791734,36.07238061087472,36.92333403087797,36.23545507951216,40.591499710083006,47.24590925736861,1,2,-1
SHO,3.18,13.499,-1.5105600000000001,-36.769,0,1611878400,3616473088,6253441,5.75,13.325069386378164,12.979244472655314,9.377655718186228,8.844285647074381,8.637999987602234,9.385000055486506,7.794545455412433,8.238095238095237,8.27428572518485,8.041363607753407,9.991499948501588,11.250909025018863,-1,-1,0
DOW,2.58,1.6219999999999999,0.03178,11.520999999999999,0,1611878400,62510460928,11055959,21.95,48.143184182176064,44.35274185485064,30.61264729342733,31.91104408211113,33.99237748356533,40.771618508834,41.2635143241794,43.0879358691461,48.0626264249425,47.634230678876975,52.27687279302451,54.33086397503063,1,2,0
IPA,0.09,0.0,-0.15477,0.0,0,1611878400,193467472,16632,10.095,25.26000022888184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
OCC,0.3,0.797,-0.110740006,-10.735999999999999,0,1611878400,44082036,20305,2.05,3.4628571328662687,3.2994737248671684,2.685909076170488,2.540952375956944,2.570499968528748,2.7113636298613115,2.4472727450457485,2.6376190185546875,2.58142858459836,3.325454527681524,2.8674999833107,3.0049999843944204,1,2,0
CMS,1.69,4.875,0.11302000000000001,13.647,0,1611878400,32562092032,3352133,46.03,63.11370005301116,65.95967172619599,60.561301204783646,58.81074776898384,54.97747537771769,58.19020441613796,60.696825587573535,60.84689426257664,60.818460333885824,63.85059776999925,64.1770582961316,59.687603192215185,1,2,2
HAS,4.2,3.116,0.040710002,17.154,0,1611878400,17028353024,4511630,41.33,100.96066325738704,93.79890080676185,62.7484611228031,72.69673880034142,68.04782238528641,74.29527183442103,74.66919074333546,77.91861529041887,79.04117676580266,85.82367715371859,88.98285103156084,92.78937756870312,1,1,-1
DON,0.0,0.0,0.0,0.0,0,0,0,0,20.07,36.73667436247013,36.27758390834426,26.43399826214056,25.05208916019609,26.231064544418373,28.88074664273931,28.521415469030593,30.041867087669445,29.320601493541684,30.27065269053529,32.68346654705938,34.60550576047397,2,2,0
SPY,0.0,0.0,0.0,0.0,0,0,0,0,218.26,322.1262619762132,324.4483551033026,266.87219034845594,275.4445175815715,290.48313595224374,309.38023473682597,318.982062950974,336.7928292706472,337.42026530159006,342.4244523884982,354.99577483173385,369.6499392152453,-1,3,-1
MET,2.98,1.931,0.0797,15.883,0,1611878400,131035947008,18974746,22.85,48.985932287770005,48.43016671114675,32.089359048390754,31.801234970832066,33.421958950804346,37.265536679141114,36.73734007614715,38.33762591370345,37.66562474322217,38.601669191268954,44.74715250048578,46.77597940371045,1,-1,0
NET,2.03,53.253,-0.27692,-343.63300000000004,0,1611878400,22955366400,9990983,15.05,18.319000153314494,19.578263332969264,22.139409151944246,24.68852388291132,28.01724977493286,33.1973183371804,38.75477287986062,40.680619376046316,38.02495229811896,53.4666357907382,65.55255012512207,82.2618179321289,-1,-1,0
APR,0.91,0.147,0.02377,0.907,0,0,160599696,493549,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0
MOM,0.0,0.0,0.0,0.0,0,0,0,0,20.6,24.001904805501297,25.326315930015163,28.27227271686901,29.43857129414876,29.73350009918213,28.21772714094682,30.35545444488525,30.529999960036502,30.323809487479075,31.118636391379614,27.94250011444092,25.699545426802203,2,2,0
SHE,0.0,0.0,0.0,0.0,0,0,0,0,50.192,77.07766589840544,77.14490757556932,62.39048401844736,63.05406081265432,67.18523518910956,71.85024215633128,72.38232407351893,76.09916320195398,76.5167513698309,78.49544384070988,82.16137622878516,88.02779518425743,2,2,2
EZA,0.0,0.0,0.0,0.0,0,0,0,0,24.12,45.1048360741871,42.916391932220655,31.55447418708693,28.794695576357395,31.042328904275998,34.804980523033365,37.175062875883775,36.23041135668686,36.16643481838595,36.84093125315429,40.50007359248694,43.391159214500014,2,2,0
BUY,0.0,0.0,0.0,0.0,0,0,0,0,11.23,18.545534411492795,17.465408447988096,12.609264033929934,12.187585425818215,13.432035639109992,14.987947511968946,15.146426139640793,16.621195511981607,16.475432475218685,17.176700071855024,17.179800033569336,0.0,2,2,0
XRT,0.0,0.0,0.0,0.0,0,0,0,0,26.29,44.79935756600979,43.821343175823344,33.43198069709297,33.31738940733965,38.11867747966987,42.866663797052034,45.40786706410554,51.429065042260866,50.8303727777083,53.449657535040096,56.34287669949729,63.108754269681796,2,2,0
JAN,0.07,0.6409999999999999,-0.33601,-3.33,0,1611878400,23153134,99263,2.01,3.383809532438005,3.7747368310627194,3.1113636276938696,2.679523842675345,2.806000030040741,3.4163636402650317,3.6313636302948,6.290000029972623,5.572857152848016,4.469090895219282,4.267499947547913,4.610000003467906,1,2,0
IPO,0.0,0.0,0.0,0.0,0,0,0,0,20.37,33.00434146697073,34.14091315648094,27.154746006293262,28.58714276268369,34.09099998474121,39.78909128362482,43.43000030517578,45.746190388997405,50.35714303879511,55.168181506070226,57.02700023651123,66.73136364329946,2,2,0
PEP,1.93,3.125,0.10117999999999999,17.284000000000002,0,1611878400,219933130752,10029505,101.42,134.85980236917464,139.7328108449793,124.02759432418993,129.81202887648843,129.5576921036485,129.84269785813274,133.1425021287855,135.14529951901446,135.037297431215,137.9250672390987,141.19071987293592,145.08440102399072,-1,-1,-1
AAL,1.13,2.832,-0.51249003,-5.615,0,1611878400,49106223104,76349014,8.25,27.91161433785123,27.762532736930947,15.836363662372936,11.650952293759302,10.37449984550476,15.933181762695312,12.315909082239324,13.363333384195965,13.296190398080011,12.70772730220448,13.044000053405762,16.784999934109777,-1,-1,0
CUT,0.0,0.0,0.0,0.0,0,0,0,0,17.5,27.752920284523416,26.898052291089158,21.419054967502092,21.68757584205294,22.62586099398394,24.528748333122827,25.094879440133894,26.623895694429578,27.625026688769584,28.63565471918601,30.35112912227387,32.88592735373697,2,2,0
IBM,4.62,2.266,0.07593,10.918,0,1611878400,166817546240,30005072,90.56,130.08504165895894,142.19425693581718,109.76719709801823,114.4063439515812,117.364522920351,120.702328019375,118.98891824969009,122.14697829520136,120.15128134815664,118.25793230914542,116.78585036293605,124.20571299866918,-1,-1,1
NEW,0.25,0.0,-0.023719999999999998,0.0,0,1611878400,518442240,166015,3.62,9.41495250520252,8.127842100043045,6.332045468417081,4.506476186570668,6.790700030326843,6.273636341094972,9.585681828585537,10.809857186816988,9.899047715323313,8.741136355833572,7.801999950408937,7.13909090648998,1,2,0
CAT,1.81,3.6860000000000004,0.07181,21.098000000000003,0,1611878400,153887588352,6111931,88.5,140.3839358917781,131.77038425415319,107.28710763944919,115.53340754214196,111.53284170088672,126.27975433912876,133.33280137459104,138.83169793575635,149.50225875641902,160.256862951628,171.26279393281553,179.28294044207382,3,5,-1
MGM,1.3,8.147,-0.21003000000000002,-52.797,0,1611878400,40061751296,13404155,5.9,32.630053301066845,31.07240527233757,16.269205964414915,14.629819789719555,15.816612279182513,19.594582168254878,16.814801400256027,21.236291556987343,23.03512786714843,21.801082955671195,25.810362603146142,30.913085771686013,1,2,0
DIS,1.73,6.7989999999999995,-0.08152999999999999,63.426,0,1611878400,413091430400,23243654,79.07,143.93380809965592,138.55947434274773,105.10409095070578,104.23523748488655,112.80400047302246,119.09409124200994,117.98318099975586,130.46857198079428,131.18238140287858,125.76318220658736,140.65650024414063,168.803635337136,-1,-1,1
SLV,0.0,0.0,0.0,0.0,0,0,0,0,10.86,16.866666702997115,16.79105271791157,14.147272673520176,14.188095229012625,15.280500173568726,16.650454434481535,19.44818184592507,25.542857033865793,24.33333324250721,22.765454639088023,22.578000164031984,23.47500012137673,2,2,0
SAM,4.95,7.547000000000001,0.11055,40.633,0,1611878400,13105440768,614235,290.02,380.8309544154576,398.0857881244861,359.6250013871626,418.9123811267671,511.5705001831055,550.0709089799361,677.5790876908736,858.9123825799852,875.5585675920759,971.9204545454544,981.380502319336,975.9718184037642,-1,-1,-1
BAM,4.72,4.652,-0.0021100000000000003,18.622,0,1611878400,295216709632,14219029,21.573334,39.8306216541866,42.83561092816567,33.424092734074065,32.70963043963777,31.91026020059465,34.490034403162106,33.65645834924279,33.658478565163065,33.35239107687035,33.6918763557536,38.0442797379496,41.34125759889617,-1,-1,0
LOW,2.19,1.6340000000000001,0.06512000400000001,13.025,0,1611878400,146418057216,8276560,60.0,119.15905529758629,120.10164175627985,90.58449070247693,95.03624909977668,116.26823400181006,131.3557295905643,142.29275691756442,158.50852574403524,163.28762334294362,171.31835310418845,159.92450307638902,160.2260340235027,3,5,-1
DBE,0.0,0.0,0.0,0.0,0,0,0,0,7.0,14.004285585312614,12.50263163917943,9.422272725538773,8.168095270792643,8.220500040054322,9.311818166212602,9.670454675501043,10.146666572207495,9.657142911638532,9.552272753282027,9.782500028610231,10.67909084666859,2,2,0
MSM,4.32,1.78,0.07137,13.042,0,1611878400,5590947328,1803346,44.93,66.05045452401659,64.71872799405487,51.75357839221932,55.29167564329121,59.48566577329786,67.64790308857485,64.64112148431597,63.662121409478786,61.18242970027933,62.9744268637606,78.12691637939105,84.71327503470108,1,1,2
JPM,1.87,-1.507,0.28542,0.0,0,1611878400,-153852264448,23256676,76.91,132.43726886652408,130.2640764499509,96.57119006987064,91.8059540736449,90.77809087144871,99.83756735307392,96.26056043045395,99.33338481155735,98.07047480968396,100.27532762768406,113.79398633148432,122.26042331353528,-1,-1,-1
FOR,3.67,1.555,0.06645,18.187,0,1611878400,1542224256,348769,9.43,21.3285714104062,20.793684407284385,14.690909082239324,12.259523845854261,14.184000062942506,15.77045453678478,16.27000011097301,18.33095241728283,18.485714412870863,18.320909066633746,19.295500087738038,20.445454597473145,1,1,0
PPT,0.28,17.375,-0.78732,0.0,0,1611878400,515985504,83030,3.5,5.036219390447467,5.031784455343604,4.237498390535689,4.186234937045457,4.4427386888320015,4.7129416056023095,4.471194560288624,4.5213845654122125,4.374955165938762,4.3986826076493095,4.504118568147839,4.556094173867401,1,4,0
API,1.77,45.18,-0.02331,-8254.95,0,1611878400,6034369024,4586340,33.6,52.59400049845378,50.52977249839089,44.24709519885835,50.90828632173084,44.35190929066051,40.134699821472175,43.06272714788263,0.0,0.0,0.0,0.0,0.0,-1,-1,-1
CCJ,1.87,0.0,-0.029539999999999997,0.0,0,1611878400,6841908736,13505594,5.3,8.777406265038751,8.956897300704382,7.271037692841525,9.509172311238562,10.496038608881552,10.370931510717707,11.298053178081277,10.739353254195137,10.825499173510318,9.675138383332033,9.8769760465851,12.934090917760676,1,2,0
ATH,3.73,0.113,0.10438,0.0,0,1611878400,1664523392,4363514,13.37,46.510714213053376,47.257894616377975,29.49386362595992,25.823809487479075,27.076650142669678,33.37000005895441,32.8344087600708,36.60276194981167,35.898190271286744,35.45499966361306,41.54765052795409,43.72863630814986,1,1,0
USO,0.0,0.0,0.0,0.0,0,0,0,0,16.88,97.46666608537944,86.02947395726255,53.46181904185902,33.04000037057059,23.334000015258788,28.10681828585538,29.369090947237886,30.61238098144531,28.64380963643392,28.187272678722035,29.10900020599365,32.431818268515855,2,2,-1
NIO,0.66,0.0,-0.34511003,0.0,0,1611878400,64670171136,48084071,2.11,4.289523783184233,4.255263165423743,3.225909092209556,3.1119047573634555,3.683999979496002,6.714090889150446,12.995454528115012,15.514285677955264,19.50000009082613,26.01863635670055,47.59499988555908,47.11318172108043,0,0,0
ARR,4.68,-27.691,0.0,0.0,0,1611878400,5109518336,5575748,4.95,16.730496820950865,18.005497348707053,12.502552254624007,7.875806444902092,7.3198456260042954,8.494770953923224,8.766908759142947,9.127767623538949,9.239796614090077,9.356031242076128,10.082255198551744,10.660395625456033,-1,-1,0
AIN,4.11,3.319,0.109469995,12.408,0,1611878400,2988705536,637677,30.46,75.21500792332847,71.78144202518384,51.98542760634162,47.96263519108714,54.63828445760061,62.08404462890582,53.57560355702186,51.969490996462355,52.11905018811332,54.06983212193125,64.21298069586429,72.87735927653107,1,1,2
FLY,0.87,6.718999999999999,-0.20413,0.0,0,1611878400,2219267584,281009,3.41,19.090476172310964,18.230000244943717,10.644999937577682,6.064761911119733,6.5819999933242785,9.400909120386297,7.494545459747314,7.776666709354947,7.179047607240222,7.268636335026134,7.762000036239624,9.17227268218994,1,2,0
AGO,8.86,3.698,0.35214,9.599,0,1611878400,3801200128,4657045,13.64,46.87128335827837,44.925018581907366,31.70790151698307,28.517436005995364,27.13616595367916,26.792672931242766,23.151828311467305,22.799181491690952,20.564889592052005,27.044457567423844,30.539947629421558,31.456921526655236,-1,-1,0
OLD,0.0,0.0,0.0,0.0,0,0,0,0,14.079,30.545028718384824,30.974448445061626,21.752331921697813,20.32620347871425,20.942922979678517,23.858971821537423,23.70541709775833,25.388355128912977,25.71497533556528,25.64337882343832,28.04643591092514,29.552939228796788,2,2,0
AMC,0.23,12.955,0.0,-15.085,0,1611878400,16095543296,55490440,1.91,7.016004710734688,6.98504179061696,4.0247228836758815,3.3542857283637635,4.959999966621399,5.64500000260093,4.383181788704611,5.380952335539319,5.9033333006359285,3.5622727654197,3.478499960899353,3.340000000866977,-1,-1,0
BBY,2.52,0.579,0.038039997,7.807,0,1611878400,27378806784,6366286,48.11,87.2782601838556,86.15241416014806,64.53568203478345,67.20057372466472,78.40645557573541,82.48575615905509,91.32402175194693,108.1357833123527,108.7080751816608,117.12974661558115,118.11718249006806,104.19394278314596,1,2,-1
